person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Agata Eftimie,agataeftimie,agataeftimie@gmail.com,1130415014361,1930-08-12,"Intrarea Eftimie Nr. 621, Vicovu de Jos, 929727",0786 952 490,6d:7f:05:b4:dd:65,3.10.120.155,RO03OAFW4308880782027694,2025-05-12 12:42:26,14244,883,596,766359,bc156fc9-1600-4f78-b739-d55ab9e50f84
Hortensia Georgescu,hortensiageorgescu,hortensiageorgescu@acasa.ro,7130611308942,1994-01-14,"Soseaua Toma Nr. 247 Bl. 53  Sc. 95 Ap. 310, Alba Iulia, 814811",0262 745 569,d5:60:8e:b9:49:fb,149.117.138.217,RO93OMPQ3154423707635674,2025-05-12 12:42:26,11131,865,11,536693,ca815ad3-39a7-454e-937f-9f84f4fa8904
Mălina Ioniță,mălinaioniță,mălinaioniță@email.ro,3380317233512,1916-11-07,"Intrarea Stan Nr. 18, Brasov, 750301",0238 647 275,19:c3:b5:18:e0:19,73.92.132.1,RO11PKSI7829060747085794,2025-05-12 12:42:26,6925,588,168,6190,bb5e3b9d-911e-4ed8-b1c7-3da4348b4581
Adi Preda,adipreda,adipreda@acasa.ro,5250330307981,1987-06-16,"Intrarea Cristina Diaconu, Victoria, 346136",0744 910 627,82:dd:84:91:5c:05,34.145.19.202,RO80QRIT1305093395759664,2025-05-12 12:42:26,34879,900,390,906953,dbd24055-8fc7-4e7c-ad24-f1002b55d6b3
Anaida Dumitrescu,anaidadumitrescu,anaidadumitrescu@acasa.ro,4531203381151,2008-02-19,"Intrarea Niță Nr. 13 Bl. 62  Sc. 66 Ap. 595, Rasnov, 182632",0784 041 238,12:f6:5d:72:27:36,108.190.55.235,RO72MNAN6081320517870857,2025-05-12 12:42:26,6827,595,66,479734,cae4b246-37e0-40f8-855e-54e4d1909db0
Floarea Dima,floareadima,floareadima@email.ro,3520209104155,1971-07-21,"Soseaua Ardelean Nr. 94 Bl. 77  Sc. 50 Ap. 973, Harlau, 921856",0788 812 136,62:a9:83:bb:0e:c9,49.122.204.245,RO05OHGK9381955335162262,2025-05-12 12:42:26,19251,550,161,1655957,3847cdcb-a43f-4b03-af2d-5a93d29969a2
Frederic Tabacu,frederictabacu,frederictabacu@kappa.ro,7720120241850,2002-12-16,"Soseaua Nemeș Nr. 764, Toflea, 598829",0267 717 391,b0:da:82:fc:89:cb,200.75.248.15,RO50HRCG6771172143883594,2025-05-12 12:42:26,24628,550,440,917429,ce2cd538-161f-4a4e-8016-a353a4768fd4
Alina Ababei,alinaababei,alinaababei@zzup.ro,5240204511101,1929-04-09,"Intrarea Aanei, Mogosoaia, 358372",0749 147 235,85:5d:53:b8:08:a0,85.243.35.176,RO22RRHK5544456138461624,2025-05-12 12:42:26,25171,923,404,85565,b7609588-e016-4716-95f1-7c116db97310
Oliviu Toma,oliviutoma,oliviutoma@kappa.ro,1070514242292,1919-06-26,"Strada Sorana Georgescu, Fetesti, 229385",0763 749 000,f8:3c:ee:0a:08:06,163.203.57.178,RO41XQFZ7350694422507847,2025-05-12 12:42:26,22307,652,188,1461371,aecdda24-6a04-4869-a6c2-1f93abe239fc
Iustin Marin,iustinmarin,iustinmarin@zzup.ro,8301202394671,1966-09-01,"Bulevardul Eftimie, Odobesti, 991127",0746 127 983,5c:0d:06:5d:52:24,53.37.3.96,RO05FRLH4682146786567656,2025-05-12 12:42:26,31938,516,529,908767,10dc04e6-a511-4ddc-a544-a182321d2158
